Date,SPY,TLT
2003-09-19,69.07296,41.626938
2003-09-22,68.326698,41.296349
2003-09-23,68.586555,41.578293
2003-09-24,67.367271,41.938019
2003-09-25,66.814285,42.147053
2003-09-26,66.59436,42.526241
2003-09-29,67.247353,42.18594
2003-09-30,66.59436,42.885963
2003-10-01,68.013565,42.723431
2003-10-02,68.260056,42.52816
2003-10-03,68.886375,41.63483
2003-10-06,69.199486,41.815453
2003-10-07,69.466026,41.332161
2003-10-08,69.292778,41.322399
2003-10-09,69.479347,41.029552
2003-10-10,69.6726,41.273609
2003-10-13,69.892456,41.112488
2003-10-14,70.138969,40.829365
2003-10-15,69.952408,40.629238
2003-10-16,70.232254,40.468204
2003-10-17,69.466026,40.780548
2003-10-20,69.98571,40.917255
2003-10-21,69.865822,41.0686
2003-10-22,68.986313,41.468868
2003-10-23,68.859734,41.166218
2003-10-24,69.012955,41.625072
2003-10-27,69.046295,41.542095
2003-10-28,69.98571,41.761726
2003-10-29,70.079025,41.385895
2003-10-30,70.225609,41.200359
2003-10-31,70.158989,41.586006
2003-11-03,70.61869,41.388988
2003-11-04,70.465469,41.624279
2003-11-05,70.518776,41.339954
2003-11-06,70.891861,40.952721
2003-11-07,70.365517,40.928257
2003-11-10,70.079025,40.893898
2003-11-11,70.059013,40.898823
2003-11-12,70.84523,41.197853
2003-11-13,70.865211,41.834991
2003-11-14,70.265556,42.114395
2003-11-17,69.912437,42.178131
2003-11-18,69.186203,42.437904
2003-11-19,69.772499,41.96735
2003-11-20,69.14624,42.374195
2003-11-21,69.432701,42.398663
2003-11-24,70.35218,42.050713
2003-11-25,70.61869,42.281055
2003-11-26,70.871902,42.10952
2003-11-28,70.925186,41.727196
2003-12-01,71.691414,41.494671
2003-12-02,71.511528,41.671997
2003-12-03,71.398247,41.504555
2003-12-04,71.691414,41.598133
2003-12-05,71.191711,42.263123
2003-12-08,71.671432,41.967564
2003-12-09,71.118423,41.671997
2003-12-10,71.11174,41.740971
2003-12-11,71.911278,42.041439
2003-12-12,72.051186,42.120228
2003-12-15,71.691414,42.095631
2003-12-16,72.064529,42.233582
2003-12-17,72.291061,42.519241
2003-12-18,73.103912,42.903481
2003-12-19,72.900406,42.888687
2003-12-22,73.409172,42.770466
2003-12-23,73.456017,42.287704
2003-12-24,73.382385,42.686729
2003-12-26,73.435966,42.844337
2003-12-29,74.413315,42.46014
2003-12-30,74.426704,42.287704
2003-12-31,74.493584,42.287727
2004-01-02,74.460175,41.787903
2004-01-05,75.270142,41.679016
2004-01-06,75.343803,42.139294
2004-01-07,75.598167,42.307533
2004-01-08,75.899422,42.292686
2004-01-09,75.23671,43.030067
2004-01-12,75.792336,42.995403
